invoice_id,subscription_id,customer_id,product_id,invoice_date,billing_start_date,billing_end_date,amount_usd,country,school_id,subscription_type,subscription_status,use_case,billing_frequency
inv_0000741,sub_000001,cust_00001,prod_004,2023-08-01,2023-08-01,2023-08-31,99.0,canada,sch_00001,pro,cancelled,b2c_course_sellers,monthly
inv_0000168,sub_000002,cust_00002,prod_001,2023-02-01,2023-02-01,2023-02-28,29.0,brazil,sch_00002,starter,cancelled,government_ngos,monthly
inv_0002355,sub_000003,cust_00003,prod_004,2024-12-01,2024-12-01,2024-12-31,99.0,france,sch_00003,pro,active,government_ngos,monthly
inv_0000004,sub_000004,cust_00004,prod_005,2023-01-01,2023-01-01,2023-03-31,282.0,brazil,sch_00004,pro,cancelled,b2c_course_sellers,quarterly
inv_0000005,sub_000005,cust_00005,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0,united states,sch_00005,pro,cancelled,corporate_training,monthly
inv_0000643,sub_000006,cust_00006,prod_001,2023-07-01,2023-07-01,2023-07-31,29.0,australia,sch_00006,starter,cancelled,b2b_course_sellers,monthly
inv_0000171,sub_000007,cust_00007,prod_001,2023-02-01,2023-02-01,2023-02-28,29.0,australia,sch_00007,starter,cancelled,customer_training,monthly
inv_0000253,sub_000008,cust_00008,prod_008,2023-03-01,2023-03-01,2023-03-31,-293.47,brazil,sch_00008,learning_center,cancelled,corporate_training,quarterly
inv_0000172,sub_000009,cust_00009,prod_001,2023-02-01,2023-02-01,2023-02-28,29.0,india,sch_00009,starter,cancelled,government_ngos,monthly
inv_0000557,sub_000010,cust_00010,prod_001,2023-06-01,2023-06-01,2023-06-30,29.0,france,sch_00010,starter,cancelled,b2b_course_sellers,monthly
inv_0000011,sub_000011,cust_00011,prod_009,2023-01-01,2023-01-01,2023-12-31,2988.0,netherlands,sch_00011,learning_center,cancelled,corporate_training,annual
inv_0001018,sub_000012,cust_00012,prod_004,2023-11-01,2023-11-01,2023-11-30,99.0,australia,sch_00012,pro,cancelled,b2c_course_sellers,monthly
