customer_id,company_name,country,default_billing_method
cust_00001,Digital Education,canada,credit_card
cust_00002,Smart Skills,brazil,credit_card
cust_00003,Future Training,france,credit_card
cust_00004,Modern Talent,brazil,debit_card
cust_00005,Advanced Growth,united states,credit_card
cust_00006,Premier Academy,australia,credit_card
cust_00007,Elite Institute,australia,wire
cust_00008,Dynamic Solutions,brazil,credit_card
cust_00009,Agile Ventures,india,debit_card
cust_00010,Innovative Pathways,france,debit_card
cust_00011,Bright Labs,netherlands,debit_card
cust_00012,Apex Learning,australia,debit_card
cust_00013,Nexus Education,united kingdom,wire
cust_00014,Lumina Skills,spain,debit_card
cust_00015,Global Training,brazil,credit_card
cust_00016,Digital Talent,france,credit_card
cust_00017,Smart Growth,india,wire
cust_00018,Future Academy,spain,credit_card
cust_00019,Modern Institute,brazil,debit_card
cust_00020,Advanced Solutions,australia,credit_card
cust_00021,Premier Ventures,united states,credit_card
cust_00022,Elite Pathways,netherlands,wire
cust_00023,Dynamic Labs,spain,wire
cust_00024,Agile Learning,united states,wire
cust_00025,Innovative Education,canada,wire
cust_00026,Bright Skills,spain,credit_card
cust_00027,Apex Training,brazil,credit_card
cust_00028,Nexus Talent,france,credit_card
cust_00029,Lumina Growth,brazil,credit_card
cust_00030,Global Academy,australia,debit_card
cust_00031,Digital Institute,united kingdom,credit_card
cust_00032,Smart Solutions,brazil,credit_card
cust_00033,Future Ventures,germany,debit_card
cust_00034,Modern Pathways,france,wire
cust_00035,Advanced Labs,australia,debit_card
cust_00036,Premier Learning,united kingdom,debit_card
cust_00037,Elite Education,france,credit_card
cust_00038,Dynamic Skills,united kingdom,credit_card
cust_00039,Agile Training,spain,credit_card
cust_00040,Innovative Talent,india,wire
cust_00041,Bright Growth,netherlands,credit_card
cust_00042,Apex Academy,netherlands,debit_card
cust_00043,Nexus Institute,united kingdom,credit_card
cust_00044,Lumina Solutions,united kingdom,credit_card
cust_00045,Global Ventures,netherlands,credit_card
cust_00046,Digital Pathways,united kingdom,debit_card
cust_00047,Smart Labs,brazil,credit_card
cust_00048,Future Learning,germany,debit_card
